word,length,fre,pmi,entropy
案件,2,0.0015600624025,4.67126998769,0.69314718056
依法,2,0.0015600624025,3.86033977148,0.69314718056
单位,2,0.0015600624025,6.46302945692,0.69314718056
年月,2,0.0101404056162,3.83502196349,1.92512119079
罚金,2,0.00312012480499,5.0767350958,0.562335144619
共计,2,0.0015600624025,5.6520992407,0.69314718056
人民,2,0.00780031201248,3.84928993529,0.950270539233
开始,2,0.0015600624025,5.36441716825,0.69314718056
腐败,2,0.0015600624025,5.76988227636,0.69314718056
发现,2,0.0015600624025,5.54673872505,0.69314718056
长期,2,0.0015600624025,4.16044436393,0.69314718056
法庭,2,0.0015600624025,3.86033977148,0.69314718056
调查,2,0.0015600624025,5.0767350958,0.69314718056
人员,2,0.00390015600624,4.11165419976,1.60943791243
罪行,2,0.00312012480499,3.30072398354,1.03972077084
减轻,2,0.0015600624025,5.76988227636,0.69314718056
中心,2,0.0015600624025,3.91749818532,0.69314718056
贪污,2,0.00468018720749,5.36441716825,1.01140426471
所得,2,0.0015600624025,6.05756434881,0.69314718056
外逃,2,0.00312012480499,3.70618909165,1.03972077084
移民,2,0.00234009360374,4.59122728002,0.636514168295
温州,2,0.00468018720749,5.0767350958,1.01140426471
工作,2,0.00234009360374,5.36441716825,1.09861228867
非法,2,0.00234009360374,4.26580487958,0.636514168295
涉嫌,2,0.00468018720749,5.0561158086,1.24245332489
市长,2,0.00234009360374,4.09590584279,0.636514168295
潜逃,2,0.00468018720749,4.26580487958,1.24245332489
法院,2,0.00234009360374,3.75497925582,0.636514168295
香港,2,0.0015600624025,6.46302945692,0.69314718056
遣返,2,0.00234009360374,6.05756434881,1.09861228867
州市,2,0.00390015600624,4.60673146656,0.673011667009
具有,2,0.0015600624025,4.95895206014,0.69314718056
荷兰,2,0.00468018720749,5.36441716825,1.01140426471
重要,2,0.0015600624025,6.05756434881,0.69314718056
回国,2,0.00468018720749,3.86653174172,1.01140426471
线索,2,0.00312012480499,5.76988227636,0.562335144619
情节,2,0.0015600624025,6.46302945692,0.69314718056
申请,2,0.00390015600624,4.85359154449,0.500402423538
请求,2,0.00234009360374,4.85359154449,1.09861228867
刑年,2,0.00390015600624,3.50811917789,0.673011667009
提出,2,0.0015600624025,4.67126998769,0.69314718056
月日,2,0.00390015600624,4.26580487958,0.500402423538
中央,2,0.0015600624025,4.32296329342,0.69314718056
嫌犯,2,0.00312012480499,4.19866557675,0.562335144619
行为,2,0.00234009360374,3.97812280713,0.636514168295
国际,2,0.00234009360374,4.02068242155,0.636514168295
头号,2,0.0015600624025,4.95895206014,0.69314718056
警方,2,0.0015600624025,4.26580487958,0.69314718056
犯罪,2,0.00702028081123,3.9109835043,1.3107836781
处罚,2,0.00390015600624,4.60673146656,0.673011667009
美方,2,0.00234009360374,3.57265769902,1.09861228867
受贿,2,0.00624024960998,4.73580850883,1.25548232518
协调,2,0.0015600624025,5.0767350958,0.69314718056
自首,2,0.00390015600624,5.36441716825,1.05492016799
避难,2,0.00468018720749,5.21026648843,0.867563228481
公司,2,0.0015600624025,4.95895206014,0.69314718056
小组,2,0.0015600624025,5.76988227636,0.69314718056
副市长,3,0.0015600624025,4.95895206014,0.69314718056
原标题,3,0.00234009360374,5.76988227636,0.636514168295
任温州,3,0.0015600624025,4.95895206014,0.69314718056
获刑年,3,0.0015600624025,3.97812280713,0.69314718056
杨光荣,3,0.0015600624025,3.65966907601,0.69314718056
副厅长,3,0.00234009360374,5.0767350958,0.636514168295
钟留娥,3,0.00390015600624,5.54673872505,1.60943791243
和美国,3,0.0015600624025,4.02068242155,0.69314718056
败露后,3,0.0015600624025,5.54673872505,0.69314718056
过程中,3,0.0015600624025,4.32296329342,0.69314718056
同年月,3,0.0015600624025,3.67493654814,0.69314718056
杨秀珠,3,0.0218408736349,3.65966907601,2.89874553959
贪污罪,3,0.00234009360374,3.4185070192,0.636514168295
温州市,3,0.00234009360374,4.38358791524,1.09861228867
新加坡,3,0.0015600624025,6.05756434881,0.69314718056
定从轻,3,0.0015600624025,5.76988227636,0.69314718056
年月日,3,0.00312012480499,3.75497925582,1.03972077084
浙江省,3,0.00468018720749,5.21026648843,1.56071040904
轻处罚,3,0.0015600624025,4.85359154449,0.69314718056
假护照,3,0.0015600624025,6.46302945692,0.69314718056
被荷兰,3,0.0015600624025,4.11165419976,0.69314718056
中方提,3,0.0015600624025,4.32296329342,0.69314718056
法国荷兰,4,0.00234009360374,4.26580487958,1.09861228867
回国自首,4,0.0015600624025,4.44812643638,0.69314718056
百名红通,4,0.00234009360374,5.54673872505,0.636514168295
将杨秀珠,4,0.0015600624025,3.4185070192,0.69314718056
中美双方,4,0.0015600624025,4.32296329342,0.69314718056
避难申请,4,0.00312012480499,4.85359154449,1.03972077084
杨秀珠持,4,0.0015600624025,3.65966907601,0.69314718056
数罪并罚,4,0.0015600624025,5.0767350958,0.69314718056
涉嫌犯罪,4,0.00234009360374,4.11165419976,0.636514168295
犯罪行为,4,0.0015600624025,4.55348695204,0.69314718056
非法移民,4,0.0015600624025,4.59122728002,0.69314718056
省建设厅,4,0.00234009360374,5.21026648843,0.636514168295
回国投案,4,0.00234009360374,5.0767350958,0.636514168295
